year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,hour_of_day
2024,1,14,7,2024-01-14,AA,2402.0,SEA,"Seattle, WA",Washington,DFW,"Dallas/Fort Worth, TX",Texas,2356,,,,,,,548,,,1,B,0,232.0,,,1660.0,0,0,0,0,0,23
2024,6,12,3,2024-06-12,NK,374.0,EWR,"Newark, NJ",New Jersey,FLL,"Fort Lauderdale, FL",Florida,1640,,,,,,,1948,,,1,C,0,188.0,,,1065.0,0,0,0,0,0,16
2024,5,16,4,2024-05-16,AA,777.0,LAS,"Las Vegas, NV",Nevada,DFW,"Dallas/Fort Worth, TX",Texas,1435,,,,,,,1925,,,1,B,0,170.0,,,1055.0,0,0,0,0,0,14
2024,7,19,5,2024-07-19,DL,2653.0,LAX,"Los Angeles, CA",California,LAS,"Las Vegas, NV",Nevada,2240,,,,,,,2354,,,1,A,0,74.0,,,236.0,0,0,0,0,0,22
2024,1,12,5,2024-01-12,WN,2560.0,MDW,"Chicago, IL",Illinois,BOS,"Boston, MA",Massachusetts,850,,,,,,,1200,,,1,B,0,130.0,,,861.0,0,0,0,0,0,8
2024,6,10,1,2024-06-10,9E,4925.0,JFK,"New York, NY",New York,JAX,"Jacksonville, FL",Florida,720,,,,,,,953,,,1,A,0,153.0,,,828.0,0,0,0,0,0,7
2024,1,25,4,2024-01-25,UA,337.0,AUS,"Austin, TX",Texas,EWR,"Newark, NJ",New Jersey,600,,,,,,,1037,,,1,A,0,217.0,,,1504.0,0,0,0,0,0,6
2024,7,30,2,2024-07-30,UA,1763.0,MCI,"Kansas City, MO",Missouri,SFO,"San Francisco, CA",California,600,,,,,,,746,,,1,C,0,226.0,,,1499.0,0,0,0,0,0,6
2024,9,26,4,2024-09-26,DL,1281.0,ATL,"Atlanta, GA",Georgia,EYW,"Key West, FL",Florida,950,,,,,,,1142,,,1,B,0,112.0,,,646.0,0,0,0,0,0,9
2024,1,14,7,2024-01-14,MQ,3466.0,DFW,"Dallas/Fort Worth, TX",Texas,FSM,"Fort Smith, AR",Arkansas,2243,,,,,,,2354,,,1,B,0,71.0,,,227.0,0,0,0,0,0,22
2024,7,21,7,2024-07-21,DL,665.0,ATL,"Atlanta, GA",Georgia,ONT,"Ontario, CA",California,855,,,,,,,1013,,,1,A,0,258.0,,,1900.0,0,0,0,0,0,8
2024,7,17,3,2024-07-17,AA,1656.0,PHL,"Philadelphia, PA",Pennsylvania,CLT,"Charlotte, NC",North Carolina,2105,,,,,,,2300,,,1,B,0,115.0,,,449.0,0,0,0,0,0,21
2024,10,11,5,2024-10-11,DL,1545.0,TPA,"Tampa, FL",Florida,ATL,"Atlanta, GA",Georgia,520,,,,,,,646,,,1,B,0,86.0,,,406.0,0,0,0,0,0,5
2024,12,4,3,2024-12-04,OO,4634.0,FAR,"Fargo, ND",North Dakota,DEN,"Denver, CO",Colorado,1640,,,,,,,1758,,,1,B,0,138.0,,,627.0,0,0,0,0,0,16
2024,2,13,2,2024-02-13,YX,3495.0,MKE,"Milwaukee, WI",Wisconsin,EWR,"Newark, NJ",New Jersey,1002,,,,,,,1335,,,1,B,0,153.0,,,725.0,0,0,0,0,0,10
2024,6,14,5,2024-06-14,YX,3710.0,GRR,"Grand Rapids, MI",Michigan,EWR,"Newark, NJ",New Jersey,1356,,,,,,,1600,,,1,B,0,124.0,,,605.0,0,0,0,0,0,13
2024,6,19,3,2024-06-19,AS,184.0,ANC,"Anchorage, AK",Alaska,ADK,"Adak Island, AK",Alaska,1130,1130.0,0.0,12.0,1142.0,,,1335,,,1,B,0,185.0,,,1192.0,0,0,0,0,0,11
2024,6,13,4,2024-06-13,WN,4917.0,MIA,"Miami, FL",Florida,HOU,"Houston, TX",Texas,1210,,,,,,,1355,,,1,B,0,165.0,,,955.0,0,0,0,0,0,12
2024,7,20,6,2024-07-20,DL,391.0,ATL,"Atlanta, GA",Georgia,RNO,"Reno, NV",Nevada,1933,,,,,,,2108,,,1,A,0,275.0,,,1993.0,0,0,0,0,0,19
2024,7,8,1,2024-07-08,UA,2606.0,IAH,"Houston, TX",Texas,SEA,"Seattle, WA",Washington,948,,,,,,,1231,,,1,C,0,283.0,,,1874.0,0,0,0,0,0,9
2024,1,25,4,2024-01-25,WN,915.0,MDW,"Chicago, IL",Illinois,PHX,"Phoenix, AZ",Arizona,1020,,,,,,,1320,,,1,B,0,240.0,,,1444.0,0,0,0,0,0,10
2024,6,4,2,2024-06-04,AA,2814.0,CLT,"Charlotte, NC",North Carolina,DEN,"Denver, CO",Colorado,1935,,,,,,,2105,,,1,B,0,210.0,,,1337.0,0,0,0,0,0,19
2024,1,15,1,2024-01-15,UA,2159.0,IAH,"Houston, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,1450,,,,,,,1609,,,1,B,0,79.0,,,224.0,0,0,0,0,0,14
2024,12,11,3,2024-12-11,WN,1433.0,DEN,"Denver, CO",Colorado,LGA,"New York, NY",New York,1015,,,,,,,1555,,,1,B,0,220.0,,,1620.0,0,0,0,0,0,10
2024,7,21,7,2024-07-21,NK,2377.0,EWR,"Newark, NJ",New Jersey,MIA,"Miami, FL",Florida,2200,,,,,,,57,,,1,A,0,177.0,,,1085.0,0,0,0,0,0,22
2024,7,8,1,2024-07-08,UA,1798.0,LGA,"New York, NY",New York,IAH,"Houston, TX",Texas,1000,,,,,,,1247,,,1,C,0,227.0,,,1416.0,0,0,0,0,0,10
2024,12,30,1,2024-12-30,UA,447.0,ATL,"Atlanta, GA",Georgia,EWR,"Newark, NJ",New Jersey,620,,,,,,,834,,,1,A,0,134.0,,,746.0,0,0,0,0,0,6
2024,7,19,5,2024-07-19,F9,3362.0,SFO,"San Francisco, CA",California,PDX,"Portland, OR",Oregon,1251,,,,,,,1432,,,1,B,0,101.0,,,550.0,0,0,0,0,0,12
2024,5,28,2,2024-05-28,WN,804.0,SLC,"Salt Lake City, UT",Utah,DAL,"Dallas, TX",Texas,1545,,,,,,,1920,,,1,B,0,155.0,,,999.0,0,0,0,0,0,15
2024,4,20,6,2024-04-20,MQ,3522.0,GCK,"Garden City, KS",Kansas,DFW,"Dallas/Fort Worth, TX",Texas,535,600.0,25.0,,,,,702,,,1,C,0,87.0,,,404.0,0,0,0,0,0,5
2024,7,22,1,2024-07-22,YX,5791.0,LGA,"New York, NY",New York,JAX,"Jacksonville, FL",Florida,1925,,,,,,,2217,,,1,C,0,172.0,,,833.0,0,0,0,0,0,19
2024,10,11,5,2024-10-11,WN,833.0,TPA,"Tampa, FL",Florida,ATL,"Atlanta, GA",Georgia,605,,,,,,,735,,,1,B,0,90.0,,,406.0,0,0,0,0,0,6
